id,fase_clinica,cenario_populacao,recomendacao,detalhes_tratamento,nivel_evidencia,forca_recomendacao,estudo_base,observacoes,fonte,tipos_compativeis,id_estados
16,Diagnóstico/Estadiamento,Para N1mi no estadiamento clínico-prognóstico,Usar N1mi no estadiamento clínico-prognóstico apenas quando baseado em LFN ressecado sem ressecção do tumor primário (ex.: BLS antes da neoadjuvância),N1mi não pode ser determinado por PAAF ou core biopsy — exige nódulo completo ressecado,Não se aplica,Não se aplica,,Essa classificação só é aplicável quando o linfonodo foi completamente ressecado; PAAF e core biopsy não permitem determinar N1mi.,Estadiamento,"[1,14]",diag_estadiamento
17,Neoadjuvância,Neoadjuvância,Considerar marcação com clipe radiopaco no leito tumoral,Clipe radiopaco,Não se aplica,Não se aplica,,"Condicional na diretriz ('Considerar marcação com clipe radiopaco').
Decisão multidisciplinar obrigatória.",Neoadjuvante,"[1,14]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos"
18,Diagnóstico/Estadiamento,Sintomas respiratórios,Realizar TC de tórax com contraste,TC de tórax com contraste,Não se aplica,Não se aplica,,"Condicional na diretriz ('considerar').
A recomendação aparece como exceção ao estadiamento de rotina na seção de estadiamento inicial; (não realizar imagem rotineiramente em estádio inicial): ESMO BAIXO/FORTE; NCCN MODERADO/FORTE.",Estadiamento,"[1,18]",diag_estadiamento
19,Diagnóstico/Estadiamento,Sintomas gastrointestinais/pélvicos ou alterações de FALC/enzimas hepáticas,Realizar TC de abdome total ou RM com contraste,TC de abdome total com contraste OU RM com contraste,Não se aplica,Não se aplica,,"Condicional na diretriz ('considerar').
A recomendação aparece como exceção ao estadiamento de rotina na seção de estadiamento inicial; (não realizar imagem rotineiramente em estádio inicial): ESMO BAIXO/FORTE; NCCN MODERADO/FORTE.",Estadiamento,"[1,18]",diag_estadiamento
20,Diagnóstico/Estadiamento,Sintomas neurológicos,Realizar RM de crânio com contraste,RM de crânio com contraste,Não se aplica,Não se aplica,,"Condicional na diretriz ('sugere-se' — formulação mais branda).
A recomendação aparece como exceção ao estadiamento de rotina na seção de estadiamento inicial; (não realizar imagem rotineiramente em estádio inicial): ESMO BAIXO/FORTE; NCCN MODERADO/FORTE.",Estadiamento,"[1,18]",diag_estadiamento
21,Neoadjuvância,Doença localmente avançada ou plano de tratamento neoadjuvante,"Realizar TC de tórax, abdome total e cintilografia óssea",Painel laboratorial completo; TC de tórax + TC de abdome/pelve ou RM + cintilografia óssea ou PET/CT-FDG; RM de crânio se sintomas neurológicos,Não se aplica,Não se aplica,,"PET/CT-FDG pode substituir ou complementar exames convencionais no localmente avançado; modalidade preferencial para estadiamento sistêmico do localmente avançado (EANM/SNMMI). Este exame integra o conjunto de opções para estadiamento sistêmico, abrangendo a escolha entre métodos convencionais (como TC e cintilografia) e PET/CT.",Neoadjuvante,"[1,2]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos"
22,Neoadjuvância,"Indicação — Tumores localmente avançados (>5cm, fixos, cutâneos, N fusionados)",Indicar tratamento neoadjuvante,"Tumores localmente avançados: >5 cm, fixação à parede torácica, envolvimento cutâneo, linfonodos fusionados ou fossa supraclavicular ipsilateral; incluir carcinomas inflamatórios.",Não se aplica,Não se aplica,,QT neoadjuvante é considerada padrão nesse cenário.,Neoadjuvante,"[1,2]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos"
23,Neoadjuvância,Tumores TNBC refratários à QT neoadjuvante que permanecem irressecáveis,Oferecer Radioterapia neoadjuvante + Capecitabina,RT associada a capecitabina (agente radiossensibilizante),Moderado,Forte,Gaui et al. 2007,82% de resposta,Neoadjuvante,"[1,2]",neoadj_candidata_tnbc
26,Adjuvância,CDIS submetido a cirurgia conservadora + RT,Obter margens cirúrgicas ≥ 2 mm,,Moderado,Forte,,Margens cirúrgicas ≥ 2 mm para cirurgia conservadora + RT.,Adjuvante,"[1,2]",
27,Metastático,Estadiamento — Avaliação inicial,"Realizar anamnese, exame físico, hemograma, função renal/hepática, cálcio e fosfatase alcalina",,Não se aplica,Não se aplica,,,Metastática,"[1,2]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc"
28,Metastático,Estadiamento — Exames de imagem obrigatórios,Realizar TC de tórax + TC/RM de abdome total + cintilografia óssea,,Não se aplica,Não se aplica,,,Metastática,"[1,2]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc"
29,Diagnóstico/Estadiamento,Estádio inicial sem sinais/sintomas suspeitos,Não solicitar exames de imagem rotineiramente,,Múltiplo,Múltiplo,,"NE dupla: ESMO BAIXO/FORTE; NCCN MODERADO/FORTE (L834). Em estádio inicial, a solicitação de imagem é excepcional, reservada para casos com sinais/sintomas suspeitos: sintomas respiratórios (TC de tórax com contraste), sintomas neurológicos (RM de crânio com contraste) ou dor óssea/FALC elevada (cintilografia óssea ou PET/CT).",Estadiamento,"[1,7]",diag_estadiamento
30,Diagnóstico/Estadiamento,Todos os casos,Não utilizar CEA e CA 15-3 para estadiamento,,Não se aplica,Não se aplica,,CEA e CA 15-3 são biomarcadores tumorais,Estadiamento,"[1,7]",diag_estadiamento
31,Diagnóstico/Estadiamento,Pacientes com potencial fértil,Coletar beta-HCG antes de iniciar o tratamento,Beta-HCG,Moderado,Forte,,"Contraindicar gravidez durante tratamento (QT, RT, hormonioterapia ou drogas-alvo).",Estadiamento,"[1,8]",diag_estadiamento
32,Diagnóstico/Estadiamento,Pacientes com potencial fértil,Interromper anticoncepcionais hormonais e orientar métodos de barreira (DIU ou preservativos),Suspender anticoncepcional hormonal; preferir DIU ou métodos de barreira,Não se aplica,Não se aplica,,Sem tag de NE no texto.,Estadiamento,"[1,8]",diag_estadiamento
33,Diagnóstico/Estadiamento,"Pré-menopausa (informar todas, independentemente do estágio; encaminhar se interesse)",Informar sobre opções de preservação (criopreservação) e encaminhar para especialista antes do início da terapia,Informar opções aprovadas de preservação + encaminhar a especialista em reprodução antes de qualquer terapia,Moderado,Forte,,"Discussão deve incluir prognóstico, implicações da gestação e possível interrupção temporária de terapias.
Estratégias atuais permitem início oportuno da QT sem atrasos relevantes.",Estadiamento,"[1,8]",diag_estadiamento
34,Diagnóstico/Estadiamento,Pacientes que desejam gestação após câncer (inclui RH-positiva e mutação germinativa BRCA),"Não desencorajar gestação (não aumenta recorrência), mas individualizar o momento",,Não se aplica,Não se aplica,,"A gestação por si só não aumenta risco de recorrência; momento individualizado conforme estadio, biologia tumoral e risco/prognóstico.
Sem tag de NE no texto.",Estadiamento,"[1,8]",diag_estadiamento
35,Neoadjuvância,Pacientes na pré-menopausa com desejo reprodutivo,Oferecer consulta com especialista em fertilidade,Avaliação e preservação da fertilidade antes da QT,Moderado,Forte,,"Avaliação e preservação da fertilidade antes da QT.
GnRHa concomitante à QT deve ser oferecido para reduzir risco de insuficiência ovariana prematura; não substitui criopreservação de oócitos/embriões.",Neoadjuvante,"[1,8]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos"
36,Adjuvância,Homens — RH+,Preferir Tamoxifeno como HT adjuvante,20 mg/dia,Não se aplica,Não se aplica,,"IA isolado não recomendado pela escassez de evidência em homens. Se contraindicação ao tamoxifeno, considerar IA associado a análogo de GnRH. iCDKs adjuvantes: seguir critérios de elegibilidade dos estudos pivotais.",Adjuvante,"[1,8]",adj_upfront_rhpos
37,Adjuvância,"Homens — alto risco (T3/T4, N+)",Indicar RT pós-mastectomia,RT pós-mastectória nos mesmos cenários de maior risco adotados em mulheres: tumores T3/T4 e comprometimento linfonodal.,Não se aplica,Não se aplica,,A diretriz estabelece que a RT deve ser considerada após mastectomia nos cenários de maior risco.,Adjuvante,"[1,8]",adj_upfront_rhpos
38,Diagnóstico/Estadiamento,Lesões suspeitas,Utilizar biópsia por agulha grossa (core biopsy) guiada por ultrassom ou estereotaxia,Core biopsy,Múltiplo,Múltiplo,,"NE dupla: ESMO BAIXO/FORTE; NCCN MODERADO/FORTE. Exame mais comum 
Mamotomia como técnica alternativa:",Estadiamento,"[1,9]",diag_estadiamento
39,Diagnóstico/Estadiamento,Lesões não palpáveis (microcalcificações ou assimetrias),Realizar mamotomia (biópsia assistida a vácuo),Mamotomia,Não se aplica,Não se aplica,"Gao et al., vacuum-assisted vs core needle biopsy",Técnica alternativa à core biopsy.,Estadiamento,"[1,9]",diag_estadiamento
40,Diagnóstico/Estadiamento,Todas as amostras de biópsia,"Realizar estudo de IHQ para RE, RP, HER2 e Ki67","RE, RP, HER2, Ki67",Alto,Forte,," Interpretar IHQ conforme recomendações internacionais (Human Epidermal Growth Factor Receptor 2 Testing in Breast Cancer, AJCC Cancer Staging Manual, 8ª ed.). Atraso no resultado atrasa início do tratamento e piora desfechos. HER2 indeterminado (2+): realizar hibridização in situ (FISH, CISH ou SISH) para definição do status final.",Estadiamento,"[1,9]",diag_estadiamento
41,Diagnóstico/Estadiamento,Câncer de mama triplo-negativo e HER2-positivo,Avaliar a presença de linfócitos infiltrantes tumorais (TILs),Avaliação de TILs pela patologia,Alto,Forte,,"Informação prognóstica e preditiva em TNBC e HER2+.
Condicional na diretriz ('é interessante que seja avaliada pela patologia').",Estadiamento,"[1,9]",diag_estadiamento
42,Diagnóstico/Estadiamento,Métodos convencionais inconclusivos ou suspeitos,Realizar PET/CT-FDG,PET/CT-FDG,Múltiplo,Múltiplo,,Condicional na diretriz ('deve ser considerado'). NE dupla: ESMO MODERADA/MODERADA; NCCN MODERADO/FORTE.,Estadiamento,"[1,9]",diag_estadiamento
43,Diagnóstico/Estadiamento,"Doença localmente avançada, múltiplos linfonodos ou suspeita de metástases",Utilizar PET/CT-FDG para substituir ou complementar exames convencionais,PET/CT-FDG,Moderada,Moderada,,"RCT: detecção de doença em estádio IV 23% vs 11% (p=0,002), com impacto na estratégia terapêutica. Modalidade preferencial para estadiamento sistêmico do localmente avançado no guideline EANM/SNMMI endossado por ACR, ESSO, ESTRO e EUSOMA. Deve-se considerar a menor sensibilidade em subtipos lobular e de baixo grau, além dos aspectos de custo e acessibilidade.",Estadiamento,"[1,9]",diag_estadiamento
45,Metastático,Estadiamento — HER2+ ou TNBC assintomático (controverso),Considerar RM de crânio,,Não se aplica,Não se aplica,,Controverso em assintomáticas; maior risco de SNC em HER2+ ou TNBC.,Metastática,"[1,2,11,18]","meta_1l_her2,meta_1l_tnbc"
46,Neoadjuvância,Indicação — Câncer de mama triplo-negativo estádios II e III,Indicar neoadjuvância como estratégia preferencial,,Não se aplica,Não se aplica,KEYNOTE-522,"KEYNOTE-522: SG em 60 meses 86,6% vs 81,7% (p=0,002) com pembrolizumabe.",Neoadjuvante,"[1,2,12,15]",neoadj_candidata_tnbc
47,Neoadjuvância,Indicação — Câncer de mama HER2 positivo estádios II e III,Indicar neoadjuvância como estratégia preferencial,,Não se aplica,Não se aplica,TRAIN-2,Duplo bloqueio HER2,Neoadjuvante,"[1,2,12,15]",neoadj_candidata_her2
48,Adjuvância,Cuidados de Suporte — Pacientes em HT — RH+/HER2-,Realizar densitometria óssea anual ou bianual,Primeira DMO antes de iniciar HT,Não se aplica,Não se aplica,,Sugestão da diretriz ('sugerimos o acompanhamento com densitometria óssea anual ou bianual'); primeira antes do início da terapia endócrina.,Adjuvante,"[1,2,13]","adj_upfront_rhpos,pos_neoadj_rhpos_pcr,pos_neoadj_rhpos_residual"
49,Adjuvância,Estilo de Vida — Durante tratamento adjuvante curativo,Recomendar exercícios aeróbicos e de resistência,,Moderado,Forte,,"Reduz fadiga, preserva função cardiorrespiratória, melhora QV",Adjuvante,"[1,2,13]","adj_upfront_tnbc,adj_upfront_her2,adj_upfront_rhpos,seguimento_curto_prazo,seguimento_longo_prazo"
50,Neoadjuvância,Indicação — Tumores RH+/HER2- de alto risco,Indicar neoadjuvância como estratégia preferencial,"Esquema contendo antracíclico e taxano, preferencialmente dose-densa; sempre que possível, administrar toda a QT antes da cirurgia.",Não se aplica,Não se aplica,,"Downstaging e possibilidade de personalizar a adjuvância conforme RPC.
Cautela: em pós-menopausa com comprometimento axilar limitado (até cN1), a indicação não deve ser automática — pode privar da omissão de QT guiada por genômica (MINDACT/RxPonder).",Neoadjuvante,"[1,2,15]",neoadj_candidata_rhpos
51,Neoadjuvância,Cirurgia upfront — Tumores T1a e T1b (< 1 cm) — TNBC,Encaminhar para cirurgia upfront,Cirurgia inicial + discussão de adjuvância,Não se aplica,Não se aplica,,,Neoadjuvante,"[1,2,15]",adj_upfront_tnbc
53,Diagnóstico/Estadiamento,Tumores localmente avançados (estádios II/III) ou candidatos a neoadjuvância,Realizar painel laboratorial completo (incluindo FALC),Painel laboratorial completo incluindo FALC,Não se aplica,Não se aplica,,"Este exame (painel laboratorial) compõe o bloco do estadiamento sistêmico para tumores localmente avançados (estádios II/III) ou candidatos a neoadjuvância, que inclui TC de tórax com contraste, TC de abdome e pelve com contraste (ou RM), cintilografia óssea (ou PET/CT-FDG) e RM de crânio com contraste se houver sinais/sintomas neurológicos. Estágio IIB: considerar os mesmos exames do estádio III, especialmente em TNBC/HER2+ (fluxograma).",Estadiamento,"[1,2,18]",diag_estadiamento
54,Metastático,Estadiamento — Sintomas neurológicos,Realizar RM de crânio,,Não se aplica,Não se aplica,,,Metastática,"[1,2,18]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc"
57,Metastático,Crise visceral — necessidade de resposta rápida — Metástases hepáticas extensas ou linfangite carcinomatosa,Oferecer poliquimioterapia,AC: doxorrubicina 60 mg/m² + ciclofosfamida 600 mg/m² q21d; EC: epirrubicina 90 mg/m² + ciclofosfamida 600 mg/m² q21d; docetaxel + capecitabina: docetaxel 75 mg/m² + capecitabina 1000 mg/m² 2x/dia D1-D14 q21d; gemcitabina + paclitaxel: gemcitabina 1000 mg/m² D1/D8 + paclitaxel 175 mg/m² D1 q21d.,Não se aplica,Não se aplica,,"Necessidade de resposta rápida. Em RH+/HER2−, considerar a alternativa de HT + iCDK4/6 conforme linha específica.",Metastática,"[1,2,3,20]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc,meta_progressao_rhpos,meta_progressao_her2,meta_progressao_tnbc"
62,Metastático,Linhas tardias — Opção com tamoxifeno — RH+/HER2-,Oferecer Tamoxifeno em pacientes com sensibilidade hormonal,20 mg/dia,Alto,Fraca,,"Condicional na diretriz ('opções a considerar' em progressão com evidência clínica de sensibilidade endócrina ou contraindicação formal à QT).
Opção em linhas tardias.",Metastática,"[1,2,3,5,20]",meta_linhas_tardias
68,Metastático,1ª ou 2ª linha — Opção com Bevacizumabe,Oferecer Bevacizumabe + Paclitaxel semanal,Bevacizumabe 10 mg/kg q14d ou 15 mg/kg q21d + Paclitaxel 80 mg/m² semanal,Não se aplica,Não se aplica,E2100,"Considerar. Pode aumentar modestamente de SLP, sem ganho de SG.",Metastática,"[1,2,3,5,20]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc,meta_progressao_rhpos,meta_progressao_her2,meta_progressao_tnbc"
69,Metastático,Informativo — Linhas subsequentes — Tucatinibe (sem aprovação no Brasil) — HER2+,Considerar Trastuzumabe + Capecitabina + Tucatinibe (SEM aprovação no Brasil),Tucatinibe 300 mg 2x/dia,Não se aplica,Não se aplica,HER2CLIMB,"Não aprovado pela Anvisa; não consta nas recomendações formais da diretriz.
HER2CLIMB (fase II, incluiu metástase cerebral ativa): SLP 7,6 vs 4,9 meses (HR 0,57); SG 24,7 vs 19,2 meses (HR 0,73).",Metastática,"[1,2,3,5,10,20]",meta_linhas_tardias
72,Metastático,Pós QT (≥1 linha) — HT resistente + progressão a ≥1 linha de QT + sem HER2-low — RH+/HER2-,Oferecer Sacituzumabe govitecana,Sacituzumabe 10 mg/kg EV D1 e D8 q21d,Alto,Forte,TROPiCS-02,"TROPiCS-02 (HT-resistente, pós ≥1 linha de QT): SLP 5,5 vs 4,0 meses. | Pré-requisitos: resistência à HT, progressão a ≥1 linha de QT e HER2 0 (sem HER2-low/ultralow). Se HER2 1+/2+ (ISH-) ou ultralow, considerar T-DXd.",Metastática,"[1,2,3,5,12,20]",meta_linhas_tardias
83,Metastático,1ª linha — Pré-menopausa — RH+/HER2-,Oferecer supressão ovariana + ribociclibe + IA ou tamoxifeno,"Supressão ovariana (agonista GnRH: Goserrelina 3,6 mg SC mensal ou 10,8 mg trimestral, ou Leuprolida 11,25 mg trimestral) + Ribociclibe 600 mg VO D1-D21/q28d + IA (Letrozol 2,5 mg, Anastrozol 1 mg ou Exemestano 25 mg/dia) OU Tamoxifeno 20 mg/dia (MONALEESA-7). | Ganho de SG comprovado.",Não se aplica,Não se aplica,MONALEESA-7,Ganho de SG,Metastática,"[1,2,3,5,8,20]",meta_1l_rhpos
89,Metastático,"1ª linha — RH+/HER2- — doença de novo, baixo volume, predominantemente não visceral, pouco sintomática",Considerar HT isolada,"(Capecitabina, Eribulina, Vinorelbina, Gencitabina). Agente único oral ou EV",Não se aplica,Não se aplica,,"Menor toxicidade, melhor QV",Metastática,"[1,2,3,6,20]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc"
92,Metastático,Informativo — Linhas tardias — Mutações ESR1 (Elacestranto) — RH+/HER2-,Considerar Elacestranto (SEM aprovação no Brasil),Elacestranto 400 mg/dia VO,Não se aplica,Não se aplica,EMERALD,EMERALD: SERD oral em pós 1-2 linhas de HT com progressão a iCDK4/6 (admitida 1 linha prévia de QT). Aprovado pelo FDA e EMA; SEM aprovação pela Anvisa - não consta nas recomendações formais da diretriz.,Metastática,"[1,2,3,9,10,20]",meta_linhas_tardias
93,Neoadjuvância,Alternativa — Tumores RH+/HER2- de alto risco,Administrar AC ou EC seguido de Paclitaxel ou Docetaxel,"AC (Doxorrubicina 60 + Ciclofosfamida 600 mg/m²) OU EC90 (Epirrubicina 90 + Ciclofosfamida 600 mg/m²), q21d, 4 ciclos → Paclitaxel 80 mg/m² semanal por 12 semanas (ou Tdd 175 mg/m² q14d, 4 ciclos) ou Docetaxel 75 mg/m² q21d, 4 ciclos.",Alto,Forte,,Inversão da ordem (Taxano -> AC) é aceitável. Não usar 5-FU,Neoadjuvante,"[1,2,4,5,21]",neoadj_candidata_rhpos
102,Adjuvância,Quimioterapia — Pós-neoadjuvância — Tratado com Pembrolizumabe na neoadjuvância — TNBC,Continuar Pembrolizumabe na adjuvância,"200 mg EV D1, q21d, por 9 ciclos (ou até 17 totais)",Alto,Forte,KEYNOTE-522,"Independente da RPC.
Combinações com capecitabina ou olaparibe são consideradas seguras (diretriz).",Adjuvante,"[1,2,5,12]",pos_neoadj_tnbc_residual
105,Neoadjuvância,Pós-neoadjuvância (RPC) — Pacientes com cN0 (linfonodo negativo) que atingiram RPC — HER2+,Manter Trastuzumabe isolado até completar 1 ano,Trastuzumabe a cada 3 semanas,Alto,Forte,,Para cN+ considerar adicionar Pertuzumabe,Neoadjuvante,"[1,2,5,15]",pos_neoadj_her2_pcr
106,Neoadjuvância,Pós-neoadjuvância (RPC) — Pacientes com cN+ (linfonodo positivo) que atingiram RPC — HER2+,Manter Trastuzumabe + Pertuzumabe até completar 1 ano,Duplo bloqueio HER2 (Trastuzumabe + Pertuzumabe),Alto,Forte,APHINITY,Benefício exclusivo para N+,Neoadjuvante,"[1,2,5,15]",pos_neoadj_her2_pcr
109,Neoadjuvância,RH+/HER2- de alto risco,Administrar AC dose-dense (ACdd) seguido de Paclitaxel,"ACdd: Adriamicina 60 mg/m² + Ciclofosfamida 600 mg/m² D1 a cada 14 dias, 4 ciclos, com G-CSF (pegfilgrastim 6 mg D2). Paclitaxel: 80 mg/m² semanal por 12 semanas OU 175 mg/m² a cada 14 dias, 4 ciclos.",Alto,Forte,EBCTCG meta-análise,"Preferir dose-densa (meta-análise EBCTCG citada na diretriz).
Não utilizar 5-FU (sem benefício). Paclitaxel 175 mg/m² a cada 21 dias é inferior.
Toxicidade/monitoramento: G-CSF profilático em cada ciclo; monitorar hemograma (neutropenia febril), FEVE (antraciclina) e neuropatia periférica (paclitaxel).",Neoadjuvante,"[1,2,4,5,6]",neoadj_candidata_rhpos
111,Adjuvância,"Hormonioterapia — Qualquer RH+, em uso de IA com artralgia grave — RH+/HER2-",Trocar para Tamoxifeno ou esquema sequencial,"Alternar 2-3 anos de TMX + 2-3 anos de IA, ou usar TMX pelo tempo total de 5 anos.",Não se aplica,Não se aplica,,"Condicional na diretriz ('pode ser substituída').
Objetivo: melhorar adesão diante de intolerância aos IA (artralgia, mialgia, perda da libido, dispareunia).",Adjuvante,"[1,2,5,6]",adj_upfront_rhpos
119,Adjuvância,"CDIS, RH+ (sem mastectomia bilateral) — RH+/HER2-",Oferecer hormonioterapia adjuvante,Tamoxifeno 20 mg/dia por 5a (ou 10mg em dias alternados por 3a) ou Anastrozol 1mg/dia (pós-menopausa) por 5a,Alto,Forte,NSABP B-35/DeCensi,"B-35 (DCIS RH+, pós-menopausa, lumpectomia+RT): tamoxifeno 20 mg/d ×5 anos vs anastrozol 1 mg/d ×5 → anastrozol reduziu eventos de mama em pós-menopausa mais jovens; desfecho primário (BCFI) significativo no geral: HR 0,73; p=0,023; benefício concentrado nas <60 anos; SG semelhante. | DeCensi (neoplasia intraepitelial de mama = CDIS/LIN, dose baixa): tamoxifeno 5 mg/d ×3 anos vs placebo → redução de recidiva local e contralateral proporção similar à dose-padrão, com menos toxicidade (sem dose 5 mg no Brasil: alternativa 10 mg em dias alternados). | Diferença: B-35 compara TMX padronizado vs IA; DeCensi é TMX de baixa dose vs placebo em lesões precursoras.",Adjuvante,"[1,2,5,6,7]",
121,Adjuvância,"Anti-HER2 — HER2+/RH+, especialmente com doença residual",Oferecer Neratinibe por 1 ano (após 1 ano de Trastuzumabe),"240 mg VO 1x/dia, 1 ano",Alto,Fraca,ExteNET,"Evidência pré-T-DM1; benefício em RH+ e doença residual | Dose: 240 mg VO 1x/dia por 1 ano, iniciado APÓS a conclusão de 1 ano de Trastuzumabe. Benefício restrito a subgrupo HER2+/RH+ com doença residual. Força da recomendação é FRACA (evidência pré-era T-DM1).",Adjuvante,"[1,2,5,7,11]","pos_neoadj_her2_residual,adj_upfront_her2"
122,Neoadjuvância,"Hormonioterapia neoadjuvante — Pacientes na pós-menopausa, tumores grau 1/2, RE forte, RP+, Ki67 baixo, HER2- — RH+/HER2-",Oferecer Inibidor de Aromatase (IA) neoadjuvante,"Exemestano, Letrozol ou Anastrozol (equivalentes). Manter por pelo menos 6 meses se houver resposta",Não se aplica,Não se aplica,ACOSOG Z1031,"Condicional na diretriz ('Considerar IA neoadjuvante'); sobretudo idosas, frágeis, comorbidades severas ou que não desejam QT, havendo necessidade de redução de volume tumoral ('deve ser considerada… Luminais A-like, comportamento indolente').
NÃO fazer em pré-menopausa fora de ensaio clínico (experimental).
RPC é rara; PEPI Score como desfecho substituto adequado.
HT neoadjuvante não impede QT adjuvante posterior, quando indicada.",Neoadjuvante,"[1,2,5,8]",neoadj_candidata_rhpos
